[INFO ] 19-04-2020 11:58:41.937 PM [http-nio-8080-exec-1]  c.t.l.controller.LibraryControllerimpl - Performing get book by id : 2
2020-05-17 16:15:52.726 [traceId=ac3aaa6d6f201672, spanId=ac3aaa6d6f201672, spanExportable=true, X-Span-Export=true, X-B3-SpanId=ac3aaa6d6f201672, X-B3-TraceId=ac3aaa6d6f201672]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Issuing book( bookid :3) to user(userid :6)
2020-05-17 16:16:36.275 [traceId=30dfef4dd07b6f7e, spanId=30dfef4dd07b6f7e, spanExportable=true, X-Span-Export=true, X-B3-SpanId=30dfef4dd07b6f7e, X-B3-TraceId=30dfef4dd07b6f7e]  INFO Shreejaa-PC --- [nio-8088-exec-4] service.controller.LibraryControllerimpl : Issuing book( bookid :13) to user(userid :6)
2020-05-18 13:44:53.184 [traceId=1b745aa999de0f18, spanId=1b745aa999de0f18, spanExportable=true, X-Span-Export=true, X-B3-SpanId=1b745aa999de0f18, X-B3-TraceId=1b745aa999de0f18]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : releasing book(bookid:1) from user(userid:6)
2020-05-18 14:47:04.992 [traceId=c1bc5760b59b36da, spanId=c1bc5760b59b36da, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c1bc5760b59b36da, X-B3-TraceId=c1bc5760b59b36da]  INFO Shreejaa-PC --- [nio-8088-exec-8] service.controller.LibraryControllerimpl : releasing book(bookid:1) from user(userid:6)
2020-05-18 19:11:01.764 [traceId=145f1f370a96b9b2, spanId=145f1f370a96b9b2, spanExportable=true, X-Span-Export=true, X-B3-SpanId=145f1f370a96b9b2, X-B3-TraceId=145f1f370a96b9b2]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :6)
2020-05-18 19:41:14.261 [traceId=e62f677aa167fb7a, spanId=e62f677aa167fb7a, spanExportable=true, X-Span-Export=true, X-B3-SpanId=e62f677aa167fb7a, X-B3-TraceId=e62f677aa167fb7a]  INFO Shreejaa-PC --- [nio-8088-exec-4] service.controller.LibraryControllerimpl : Performing get book by id : 1
2020-05-18 19:41:14.351 [traceId=9ab8b9d66a5a0110, spanId=9ab8b9d66a5a0110, spanExportable=true, X-Span-Export=true, X-B3-SpanId=9ab8b9d66a5a0110, X-B3-TraceId=9ab8b9d66a5a0110]  INFO Shreejaa-PC --- [nio-8088-exec-5] service.controller.LibraryControllerimpl : Performing get book by id : 3
2020-05-18 19:41:14.405 [traceId=3cdcae6f80a126cf, spanId=3cdcae6f80a126cf, spanExportable=true, X-Span-Export=true, X-B3-SpanId=3cdcae6f80a126cf, X-B3-TraceId=3cdcae6f80a126cf]  INFO Shreejaa-PC --- [nio-8088-exec-6] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:14.754 [traceId=0deec7a0e9ab5da8, spanId=0deec7a0e9ab5da8, spanExportable=true, X-Span-Export=true, X-B3-SpanId=0deec7a0e9ab5da8, X-B3-TraceId=0deec7a0e9ab5da8]  INFO Shreejaa-PC --- [nio-8088-exec-7] service.controller.LibraryControllerimpl : Performing get book by id : 13
2020-05-18 19:41:33.775 [traceId=d3aefe15451b6cf6, spanId=d3aefe15451b6cf6, spanExportable=true, X-Span-Export=true, X-B3-SpanId=d3aefe15451b6cf6, X-B3-TraceId=d3aefe15451b6cf6]  INFO Shreejaa-PC --- [nio-8088-exec-8] service.controller.LibraryControllerimpl : Performing get book by id : 13
2020-05-18 19:41:34.043 [traceId=0361cfb14a336667, spanId=0361cfb14a336667, spanExportable=true, X-Span-Export=true, X-B3-SpanId=0361cfb14a336667, X-B3-TraceId=0361cfb14a336667]  INFO Shreejaa-PC --- [nio-8088-exec-9] service.controller.LibraryControllerimpl : Performing get book by id : 3
2020-05-18 19:41:34.999 [traceId=08ed885fcf5d9185, spanId=08ed885fcf5d9185, spanExportable=true, X-Span-Export=true, X-B3-SpanId=08ed885fcf5d9185, X-B3-TraceId=08ed885fcf5d9185]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:35.117 [traceId=74d7a8fe34d3ff8b, spanId=74d7a8fe34d3ff8b, spanExportable=true, X-Span-Export=true, X-B3-SpanId=74d7a8fe34d3ff8b, X-B3-TraceId=74d7a8fe34d3ff8b]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Performing get book by id : 1
2020-05-18 19:41:35.127 [traceId=c6aed2aa8bcf26f5, spanId=c6aed2aa8bcf26f5, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c6aed2aa8bcf26f5, X-B3-TraceId=c6aed2aa8bcf26f5]  INFO Shreejaa-PC --- [nio-8088-exec-1] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:35.266 [traceId=dcaf3f448ba3d5c1, spanId=dcaf3f448ba3d5c1, spanExportable=true, X-Span-Export=true, X-B3-SpanId=dcaf3f448ba3d5c1, X-B3-TraceId=dcaf3f448ba3d5c1]  INFO Shreejaa-PC --- [io-8088-exec-10] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:38.826 [traceId=2b1ca1feb1b5203f, spanId=2b1ca1feb1b5203f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=2b1ca1feb1b5203f, X-B3-TraceId=2b1ca1feb1b5203f]  INFO Shreejaa-PC --- [nio-8088-exec-7] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:38.985 [traceId=40f66d19cc317514, spanId=40f66d19cc317514, spanExportable=true, X-Span-Export=true, X-B3-SpanId=40f66d19cc317514, X-B3-TraceId=40f66d19cc317514]  INFO Shreejaa-PC --- [nio-8088-exec-5] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:39.005 [traceId=2756b31ec26c4bf6, spanId=2756b31ec26c4bf6, spanExportable=true, X-Span-Export=true, X-B3-SpanId=2756b31ec26c4bf6, X-B3-TraceId=2756b31ec26c4bf6]  INFO Shreejaa-PC --- [nio-8088-exec-4] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:41.874 [traceId=3bf3ac968243966d, spanId=3bf3ac968243966d, spanExportable=true, X-Span-Export=true, X-B3-SpanId=3bf3ac968243966d, X-B3-TraceId=3bf3ac968243966d]  INFO Shreejaa-PC --- [nio-8088-exec-6] service.controller.LibraryControllerimpl : Performing get user by id 6
2020-05-18 19:41:42.068 [traceId=aec9d0c646ff60c5, spanId=aec9d0c646ff60c5, spanExportable=true, X-Span-Export=true, X-B3-SpanId=aec9d0c646ff60c5, X-B3-TraceId=aec9d0c646ff60c5]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Performing get book by id : 1
2020-05-18 19:41:42.218 [traceId=6f7449cd6837b06d, spanId=6f7449cd6837b06d, spanExportable=true, X-Span-Export=true, X-B3-SpanId=6f7449cd6837b06d, X-B3-TraceId=6f7449cd6837b06d]  INFO Shreejaa-PC --- [nio-8088-exec-9] service.controller.LibraryControllerimpl : Performing get book by id : 3
2020-05-18 19:41:42.226 [traceId=ed5eac2474bcad11, spanId=ed5eac2474bcad11, spanExportable=true, X-Span-Export=true, X-B3-SpanId=ed5eac2474bcad11, X-B3-TraceId=ed5eac2474bcad11]  INFO Shreejaa-PC --- [nio-8088-exec-8] service.controller.LibraryControllerimpl : Performing get book by id : 13
2020-05-18 19:41:42.592 [traceId=529e627cedad0a92, spanId=529e627cedad0a92, spanExportable=true, X-Span-Export=true, X-B3-SpanId=529e627cedad0a92, X-B3-TraceId=529e627cedad0a92]  INFO Shreejaa-PC --- [nio-8088-exec-7] service.controller.LibraryControllerimpl : Performing get book by id : 1
2020-05-18 19:41:42.632 [traceId=d5611191c39d38d1, spanId=d5611191c39d38d1, spanExportable=true, X-Span-Export=true, X-B3-SpanId=d5611191c39d38d1, X-B3-TraceId=d5611191c39d38d1]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Performing get book by id : 13
